Date,Name,Year,Letterboxd URI,Rating
2021-06-02,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,2.5
2021-06-05,Avatar,2009,https://boxd.it/1Efm,2.5
2021-06-05,Beauty and the Beast,2017,https://boxd.it/ar0c,3
2021-06-05,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2
2021-06-05,Independence Day,1996,https://boxd.it/2a1w,2
2021-06-08,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2021-06-08,Star Wars,1977,https://boxd.it/72s,3
2021-06-15,Django Unchained,2012,https://boxd.it/2cCk,4
2021-06-15,The Sound of Music,1965,https://boxd.it/1MLK,4
2021-06-15,A Beautiful Mind,2001,https://boxd.it/2amk,3.5
2021-06-15,Thor: The Dark World,2013,https://boxd.it/2DqA,1
2021-06-15,Thor,2011,https://boxd.it/1WQU,2.5
2021-06-15,The Imitation Game,2014,https://boxd.it/6aig,3.5
2021-06-17,Annihilation,2018,https://boxd.it/9yzm,3.5
2021-06-18,Cruella,2021,https://boxd.it/bbKg,3.5
2021-06-19,X-Men: Apocalypse,2016,https://boxd.it/7eJi,3
2021-06-21,Roma,2018,https://boxd.it/f69M,5
2021-06-26,Charlie,2015,https://boxd.it/cV5q,5
2021-06-26,Thondimuthalum Driksakshiyum,2017,https://boxd.it/grc0,4
2021-06-26,Drishyam,2013,https://boxd.it/7avm,4.5
2021-06-26,Maheshinte Prathikaaram,2016,https://boxd.it/dhEM,4
2021-06-26,Vaayai Moodi Pesavum,2014,https://boxd.it/7QcG,4
2021-06-27,mother!,2017,https://boxd.it/dgRU,3
2021-06-30,Frances Ha,2012,https://boxd.it/41Xg,4
2021-07-13,Midsommar,2019,https://boxd.it/jhxe,4.5
2021-08-11,Lion,2016,https://boxd.it/b2La,4.5
2021-08-11,The Lego Batman Movie,2017,https://boxd.it/azp0,4
2021-08-11,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,4
2021-08-11,Knives Out,2019,https://boxd.it/jWEA,4.5
2021-08-25,Happiest Season,2020,https://boxd.it/iS3I,4
2021-09-02,Speak,2004,https://boxd.it/1MTO,5
2021-09-04,Don't Breathe,2016,https://boxd.it/9yzw,4.5
2021-09-04,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4.5
2021-09-04,Gone Girl,2014,https://boxd.it/6hQu,5
2021-09-13,Side Effects,2013,https://boxd.it/3GA6,3.5
2021-09-19,Ocean's Eight,2018,https://boxd.it/eaai,3
2021-09-21,Certain Women,2016,https://boxd.it/bk7W,4.5
2021-09-22,The Suicide Squad,2021,https://boxd.it/fw6O,4.5
2021-09-24,Clouds of Sils Maria,2014,https://boxd.it/7f62,4
2021-09-24,What We Do in the Shadows,2014,https://boxd.it/7eQy,4
2021-09-24,Se7en,1995,https://boxd.it/29zs,4.5
2021-09-24,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4.5
2021-09-24,Baby Driver,2017,https://boxd.it/bhF2,3
2021-09-24,American Hustle,2013,https://boxd.it/5dz8,2
2021-09-24,Dunkirk,2017,https://boxd.it/d0Y6,4
2021-09-24,Tenet,2020,https://boxd.it/leq4,3.5
2021-09-24,The Prestige,2006,https://boxd.it/293w,4.5
2021-09-24,X2,2003,https://boxd.it/1a7i,4.5
2021-09-24,Hidden Figures,2016,https://boxd.it/dgS4,4.5
2021-09-24,Wind River,2017,https://boxd.it/dR3i,4.5
2021-09-24,The Shape of Water,2017,https://boxd.it/dZ5m,4.5
2021-09-24,The Man Who Knew Infinity,2015,https://boxd.it/bTpm,4.5
2021-09-24,Back to the Future,1985,https://boxd.it/2b8e,4
2021-09-24,The Empire Strikes Back,1980,https://boxd.it/27Vw,4
2021-09-24,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,4
2021-09-24,Thattathin Marayathu,2012,https://boxd.it/3YPo,4
2021-09-24,Edge of Tomorrow,2014,https://boxd.it/4pD0,4
2021-09-24,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,4
2021-09-24,You Were Never Really Here,2017,https://boxd.it/dWOS,4
2021-09-24,I'm Still Here,2010,https://boxd.it/TcK,3
2021-09-24,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3
2021-09-24,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3.5
2021-09-24,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,3.5
2021-09-26,A Ghost Story,2017,https://boxd.it/fb0K,4
2021-09-26,Personal Shopper,2016,https://boxd.it/bkGM,5
2021-09-27,Memento,2000,https://boxd.it/2bcK,4.5
2021-09-28,Whiplash,2014,https://boxd.it/7bQA,4.5
2021-10-05,Panic Room,2002,https://boxd.it/2490,4.5
2021-10-05,Fight Club,1999,https://boxd.it/2a9q,4.5
2021-10-11,But I'm a Cheerleader,1999,https://boxd.it/1CW4,3.5
2021-10-11,The Witch,2015,https://boxd.it/9X0m,3.5
2021-10-11,The Space Between Us,2017,https://boxd.it/cF0u,2
2021-10-11,Gravity,2013,https://boxd.it/GZY,3.5
2021-10-11,X-Men,2000,https://boxd.it/1a7s,3.5
2021-10-15,Adventureland,2009,https://boxd.it/1JTQ,3.5
2021-11-01,Black Swan,2010,https://boxd.it/Sw0,5
2021-11-11,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5
2021-11-11,Like Stars on Earth,2007,https://boxd.it/20SA,5
2021-11-12,American Ultra,2015,https://boxd.it/7KXc,2.5
2021-11-13,Mank,2020,https://boxd.it/mIuC,3.5
2021-11-13,Dark Phoenix,2019,https://boxd.it/anyO,1.5
2021-11-21,Shiva Baby,2020,https://boxd.it/oIv0,4.5
2021-11-26,V for Vendetta,2005,https://boxd.it/29Ik,4.5
2021-11-26,Iron Man 3,2013,https://boxd.it/2cBQ,4.5
2021-11-26,A Star Is Born,2018,https://boxd.it/aXgc,4
2021-11-29,Lady Bird,2017,https://boxd.it/dGNE,4
2021-11-30,Forrest Gump,1994,https://boxd.it/728,1.5
2021-12-13,The Favourite,2018,https://boxd.it/d2hI,5
2021-12-27,Titane,2021,https://boxd.it/nlQC,4.5
2022-01-16,Chithrasalabhangalude Veedu,2008,https://boxd.it/yWMk,3.5
2022-01-16,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3
2022-02-10,Manichitrathazhu,1993,https://boxd.it/2Yeg,4
2022-02-12,Daddy Cool,2009,https://boxd.it/65Au,3
2022-02-12,Kireedam,1989,https://boxd.it/5LXo,4.5
2022-02-12,The Lighthouse,2019,https://boxd.it/icFU,4.5
2022-02-13,The Worst Person in the World,2021,https://boxd.it/oyws,4
2022-02-28,Ennu Ninte Moideen,2015,https://boxd.it/cghg,4
2022-02-28,Uyare,2019,https://boxd.it/lVcY,4
2022-02-28,Ayalum Njanum Thammil,2012,https://boxd.it/4ttI,4.5
2022-03-01,Mulholland Drive,2001,https://boxd.it/297o,5
2022-03-25,The Power of the Dog,2021,https://boxd.it/m99E,4
2022-03-26,The Handmaiden,2016,https://boxd.it/948A,5
2022-03-26,Charlie's Angels,2019,https://boxd.it/gogo,1
2022-03-26,Still Alice,2014,https://boxd.it/8Nhq,4
2022-03-26,Wonder Woman 1984,2020,https://boxd.it/gBtA,1
