uri,Year,Name,Director,Runtime,Cast,Poster,Countries,Languages,Genres,Watches
f69M,2018,Roma,Alfonso Cuarón,135,"['Yalitza Aparicio', 'Marina de Tavira', 'Diego Cortina Autrey', 'Carlos Peralta', 'Marco Graf', 'Daniela Demesa', 'Nancy García García', 'Verónica García', 'Fernando Grediaga', 'Jorge Antonio Guerrero', 'José Manuel Guerrero Mendoza', 'Andy Cortés', 'Victor Manuel Resendiz Ruiz', 'Zarela Lizbeth Chinolla Arellano', 'José Luis López Gómez', 'Edwin Mendoza Ramírez', 'Clementina Guadarrama', 'Enoc Leaño', 'Nicolás Peréz Taylor Félix', 'Kjartan Halvorsen']",,"['USA', 'Mexico']","['Spanish', 'English']",['drama'],"[datetime.datetime(2021, 6, 21, 0, 0)]"
evUQ,2017,Ingrid Goes West,Matt Spicer,97,"['Aubrey Plaza', 'Elizabeth Olsen', ""O'Shea Jackson Jr."", 'Wyatt Russell', 'Billy Magnussen', 'Pom Klementieff', 'Joseph Breen', 'Hannah Pearl Utt', 'Angelica Amor', 'Meredith Hagner', 'Charlie Wright', 'Dennis Atlas', 'Jay Weingarten', 'Malika Williams', 'Vincent van Hinte', 'Tina Lorraine', 'Megan Griffey', 'Destiny Soria', 'Luis Deveze', 'Andrew Horschak', 'Jana Ritter']",,['USA'],['English'],"['drama', 'comedy']","[datetime.datetime(2021, 6, 22, 0, 0)]"
TcK,2010,I'm Still Here,Casey Affleck,107,"['Joaquin Phoenix', 'Bruce Willis', 'Danny DeVito', 'Jack Nicholson', 'Ben Stiller', 'Sean Combs', 'Casey Affleck', 'Antony Langdon', 'Yasiin Bey', 'Edward James Olmos', 'Eddie Rouse', 'Jamie Foxx', 'Billy Crystal', 'Danny Glover', 'Jerry Penacoli', 'Hugh Grant', 'Natalie Portman']",,['USA'],['English'],"['comedy', 'drama', 'music']","[datetime.datetime(2021, 6, 22, 0, 0)]"
fLeo,2018,"Don't Worry, He Won't Get Far on Foot",Gus Van Sant,115,"['Joaquin Phoenix', 'Jonah Hill', 'Rooney Mara', 'Jack Black', 'Tony Greenhand', 'Beth Ditto', 'Mark Webber', 'Ronnie Adrian', 'Kim Gordon', 'Udo Kier', 'Carrie Brownstein', 'Ethan Tindukasiri', 'Sunny Suljic', 'Cree Kawa', 'Nolan Gross', 'Leo Phoenix', 'Emilio Rivera', 'Ken Tatafu', 'Angelique Rivera', 'Rebecca Rittenhouse', 'Anne Lane', 'Jessica Jade Andres', 'Torian Miller', 'Rebecca Field', 'Olivia Hamilton', 'Peter Banifaz', 'Alexandra W.B. Malick', 'Kyle Dunnigan', 'Santina Muha']",,['USA'],['English'],"['drama', 'comedy']","[datetime.datetime(2021, 6, 24, 0, 0)]"
aNXU,2003,C.I.D. Moosa,Johny Antony,160,"['Dileep', 'Bhavana', 'Jagathy Sreekumar', 'Ashish Vidhyarthi', 'Harisree Ashokan', 'Cochin Haneefa', 'Oduvil Unnikrishnan', 'Murali', 'Vijayaraghavan', 'Salim Kumar', 'Sharat Saxena', 'Captain Raju', 'Paravoor Bharathan', 'Sukumari', 'Indrans', 'Kunchan', 'Machan Varghese', 'Subbalakshmi']",,['India'],['Malayalam'],"['comedy', 'action']",[]
a48M,2002,Meesa Madhavan,Lal Jose,165,"['Dileep', 'Indrajith Sukumaran', 'Jagathy Sreekumar', 'Kavya Madhavan', 'Sukumari', 'Oduvil Unnikrishnan', 'Harisree Ashokan', 'Cochin Haneefa', 'Mala Aravindan', 'Jyothirmayi', 'Karthika Mathew', 'Salim Kumar', 'James Chacko', 'Machan Varghese', 'Manikandan Pattambi', 'Guinness Pakru', 'Sanusha Santhosh', 'Jayesh Pazhanimala', 'Prajod Kalabhavan', 'Ambika Mohan', 'Gayathri', 'Yamuna', 'Kozhikode Narayanan Nair', 'Lal Jose', 'Ranjith', 'Joy Pallassery']",,['India'],['Malayalam'],"['action', 'drama', 'comedy']",[]
cV5q,2015,Charlie,Martin Prakkat,130,"['Parvathy Thiruvothu', 'Dulquer Salmaan', 'Aparna Gopinath', 'Chemban Vinod Jose', 'Nedumudi Venu', 'Kalpana', 'Soubin Shahir', 'Tovino Thomas', 'Neeraj Madhav', 'Seetha', 'KPAC Lalitha', 'P Balachandran', 'Ramesh Pisharody', 'Jayaraj Warrier', 'Renji Panicker', 'Joy Mathew', 'Nassar', 'Chethan Jayalal', 'Rajesh Sharma', 'Sooraj Thelakkad']",,['India'],"['Malayalam', 'Hindi']","['drama', 'romance']",[]
2Yeg,1993,Manichitrathazhu,Fazil,169,"['Shobana', 'Mohanlal', 'Suresh Gopi', 'Nedumudi Venu', 'Vinaya Prasad', 'Innocent', 'Sudheesh', 'KPAC Lalitha', 'Thilakan', 'Kuthiravattam Pappu', 'Ganesh Kumar', 'Sridhar', 'Kuttyedathi Vilasini', 'Rudra']",,['India'],"['Malayalam', 'Tamil']","['horror', 'fantasy', 'thriller']","[datetime.datetime(2022, 2, 9, 0, 0)]"
grc0,2017,Thondimuthalum Driksakshiyum,Dileesh Pothan,136,"['Suraj Venjaramoodu', 'Fahadh Faasil', 'Nimisha Sajayan', 'Alencier Ley Lopez', 'Vettukili Prakash', 'Sivadas Kannur', 'Sibi K Thomas', 'Srikant Murali', 'Baby', 'Madhusoodanan', 'Mini K.S']",,['India'],"['Malayalam', 'Kannada']","['comedy', 'thriller', 'drama']",[]
7avm,2013,Drishyam,Jeethu Joseph,164,"['Mohanlal', 'Meena', 'Asha Sarath', 'Kalabhavan Shajon', 'Ansiba Hassan', 'Esther Anil', 'Siddique', 'Roshan Basheer', 'Neeraj Madhav', 'Aneesh G Menon', 'Irshad Ali', 'Kunchan', 'Kozhikode Narayanan Nair', 'Baiju V.K.', 'P Sreekumar', 'Shobha Mohan', 'Kalabhavan Haneef', 'Antony Perumbavoor', 'Mela Raghu', 'Koottickal Jayachandran', 'Nisha Sarangh', 'Pradeep Chandran', 'Kalabhavan Rahman']",,['India'],['Malayalam'],"['crime', 'thriller']",[]
